Timestamp,Action,Symbol,Price,Lot_Size,Magic_Number,Result
2026-06-03T17:04:13.188015,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:13.302015,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:13.420015,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:13.622014,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:13.731014,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:13.837013,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:13.943013,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:14.049013,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:14.165013,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:14.289012,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:14.399012,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:14.510012,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:14.623011,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:14.731011,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:14.859011,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:14.966010,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:15.075010,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:15.182010,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:15.291009,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:15.401009,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:15.516009,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:15.624008,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:15.797008,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:15.908008,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:16.016007,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:16.126007,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:16.233007,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:16.354006,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:16.462006,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:16.569006,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:16.677006,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:16.783005,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:16.892005,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:17.002005,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:17.134004,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:17.247004,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:17.358004,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:17.466003,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:17.578003,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:17.685003,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:17.794002,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:17.952002,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:18.062002,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:18.170001,SELL,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:18.277001,BUY,EURUSD,1.1620300000000001,0.1,777777,FAILED: 10040
2026-06-03T17:04:18.383001,SELL,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:18.493000,BUY,EURUSD,1.1620300000000001,0.1,777777,FAILED: 10040
2026-06-03T17:04:18.601000,SELL,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:18.709000,BUY,EURUSD,1.1620300000000001,0.1,777777,FAILED: 10040
2026-06-03T17:04:18.886999,SELL,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:18.992999,BUY,EURUSD,1.1620300000000001,0.1,777777,FAILED: 10040
2026-06-03T17:04:19.103999,SELL,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:19.212998,BUY,EURUSD,1.1620300000000001,0.1,777777,FAILED: 10040
2026-06-03T17:04:19.321998,SELL,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:19.429998,BUY,EURUSD,1.1620300000000001,0.1,777777,FAILED: 10040
2026-06-03T17:04:19.540997,SELL,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:19.646997,BUY,EURUSD,1.1620300000000001,0.1,777777,FAILED: 10040
2026-06-03T17:04:19.754997,SELL,EURUSD,1.16201,0.1,777777,FAILED: 10040
